JOB TITLE,DESCRIPTION,INDUSTRY,SALARY,EXPERIENCE,JOB TYPE,GENDER,STREET,CITY,LISTED DATE,EXPIRES,URL,EMAIL
WALK IN ( 20/02/2019 TILL 22/02/2019) LOOKING FOR A CASHIER FOR ONE OF THE ...,HI WE ARE LOOKING FOR A FEMALE CASHIER FOR ONE OF OUR CLIENT, Other, AED 2001-2500, 1 - 2 Years, Full Time, Any," Alnahda 1,Dubai", Dubai," February 20, 2019 2"," 29 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/walk-in-20-02-2019-till-22-02-2019-looking-for-a-cashier-for-one-of-the-office-near-to-emirates-mall-metro-station/,employeeabt2019@gmail.com
Customer Services Cum Receptionist,"Customer services cum Receptionist A multicultural environmental Customer services cum Receptionist we need, male and female an nationality, salary will start from 3500 to 4200 plus accommodation and transportation. Maintaining records Preparing implementation reports Handle the phone in a good manners", Banking, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 20, 2019 2"," 29 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/customer-services-cum-receptionist/,expocareer2020@gmail.com
Required Electrician,"Customer services cum Receptionist A multicultural environmental Customer services cum Receptionist we need, male and female an nationality, salary will start from 3500 to 4200 plus accommodation and transportation. Maintaining records Preparing implementation reports Handle the phone in a good manners",,,,,,,,,,,
Hiring Now : Contracts Engineer (Construction Industry),"Silver Coast founded in Abu Dhabi in 1997, SCCB is today one of the leading civil-engineering and construction companies in the United Arab Emirates \xe2\x80\x93 developing some of the largest and most significant projects for both public and private sectors.", Construction, Unspecified, 5 - 7 Years, Full Time, Any, Airport road, Abu Dhabi," February 20, 2019 11"," 29 days, 13 hours",https://buzzon.khaleejtimes.com/classifieds/hiring-now-contracts-engineer-construction-industry/,career@silvercoast.ae
Dietitian (Part-time),"Silver Coast founded in Abu Dhabi in 1997, SCCB is today one of the leading civil-engineering and construction companies in the United Arab Emirates \xe2\x80\x93 developing some of the largest and most significant projects for both public and private sectors.",,,,,,,,,,,
Wanted sales executive for an FMCG company based in Dubai,"Wanted sales executive with UAE manual driving licence for an FMCG company based in Dubai. If interested and ready to join , please forward your CV to faghoreca@gmail.com", Food & Packaged Food, AED 2501-3000, 2 - 5 Years, Full Time, Male, DEIRA, Dubai," February 19, 2019 7"," 28 days, 22 hours",https://buzzon.khaleejtimes.com/classifieds/wanted-sales-executive-for-an-fmcg-company-based-in-dubai/,faghoreca@gmail.com
MALE SECURITY GUARDS,We urgently required male security guard. Preferred nationality Nepali and Indian only. Height: 5’7” Chest Size: 38, Other, Unspecified, 1 - 2 Years, Full Time, Male, Frej Al Murrar Deira, Dubai," February 19, 2019 6"," 28 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/male-security-guards/,info@futurewbc.com
Need General Helpers,Urgently needed 5 General Helpers, Food & Packaged Food, AED 1001-1500, 2 - 5 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 6"," 28 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/need-general-helpers/,leadingaimhr2@gmail.com
Required FACULTATIVE RI BROKER,FACULTATIVE RI BROKER Required for a boutique five year old reinsurance. DIFC based reinsurance broker. Title: Broker\xe2\x80\x94 FAC RI Placements, Insurance, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 19, 2019 6"," 28 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/required-facultative-ri-broker/,ghrdxb19@gmail.com
LADY DRIVER,A Leading Electromechanical Company in Dubai requires Lady Driver with license no. 3 . With minimum 2 years\xe2\x80\x99 U.A.E. experience in MEP Contracting Company. Familiar with U.A.E. Roads and can speak in English .Candidates meeting the above criteria may send CV with latest photograph to dxbhr2105@gmail.com, Engineering, Unspecified, 2 - 5 Years, Full Time, Female, Dubai Silicon Oasis, Dubai," February 19, 2019 5"," 27 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/lady-driver/,dxbhr2105@gmail.com
Interior Sales and Marketing Executive with the same experience,We are looking for a Sales and Marketing Executive with the same experience in Interior Fit-Out company., Other, Unspecified, 2 - 5 Years, Full Time, Any, Al Thannyah 1st, Dubai," February 19, 2019 4"," 28 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/interior-sales-and-marketing-executive-with-the-same-experience/,pa@velocedubai.com
Exhibition Sales and Marketing Executive with same experience,We are looking for an Exhibition Sales and Marketing Executive with experience in the same industry for 2 years or more., Other, Unspecified, 2 - 5 Years, Full Time, Any, Al Thannyah 1st, Dubai," February 19, 2019 4"," 28 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/exhibition-sales-and-marketing-executive-with-same-experience/,pa@velocedubai.com
GP/Family Medicine Physician (Part-Time),We are looking for an Exhibition Sales and Marketing Executive with experience in the same industry for 2 years or more.,,,,,,,,,,,
"Immediate Hiring : Heavy Bus Driver, Light Vehicle Driver, JCB, Bob Cat Ope...","Silver Coast founded in Abu Dhabi in 1997, SCCB is today one of the leading civil-engineering and construction companies in the United Arab Emirates \xe2\x80\x93 developing some of the largest and most significant projects for both public and private sectors.", Construction, Unspecified, 2 - 5 Years, Full Time, Male, Airport road, Abu Dhabi," February 19, 2019 3"," 28 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/immediate-hiring-heavy-bus-driver-light-vehicle-driver-jcb-bob-cat-operators-indians-national-only/,career@silvercoast.ae
Immediately Required 5 Payroll Analyst,Immediately required 5 Payroll Analyst, Other, AED 7001-10000, 2 - 5 Years, Full Time, Any," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 3"," 28 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/immediately-required-5-payroll-analyst/,leadingaimhr1@gmail.com
"Urgently Required 5 Waiters For Restaurant,  2 Office Boy and 3 Security Gu...",Urgently required 5 Waiters for Restaurant, Consultancy, AED 1001-1500, 1 - 2 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 3"," 28 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-5-waiters-for-restaurant-2-office-boy-and-3-security-guards/,leadingaimhr1@gmail.com
AGRICULTURE ENGINEER (Arabic),Urgently required 5 Waiters for Restaurant,,,,,,,,,,,
Deputy Finance Controller/Fiance Head/Financial Controller,A well reputed company in Dubai is looking for a Financial Controller/Finance Head/Deputy Financial Controller for its group of company in Oman. Candidates must be willing to relocate to Oman and should have 10-12 yrs of relevant experience . Candidates meets the given requirement may forward their resume to uaehrjobs2019@gmail.com, Construction, Unspecified, 10 - 15 Years, Full Time, Male, AL NAHDA, Dubai," February 19, 2019 3"," 27 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/deputy-finance-controller-fiance-head-financial-controller/,uaehrjobs2019@gmail.com
LOOKING FOR A CHEF/COOK MALE (2500 AED) & NANNY (1000 AED+F+A) FEMALE ...,WE ARE LOOKING FOR A CHEFF/COOK TO ONE OF OUR CLIENT FOR THEIR HOME AND SHOP, Hotels/Restaurant, AED 2001-2500, 1 - 2 Years, Full Time, Any," Al Nahda 1,Dubai", Dubai," February 19, 2019 1"," 27 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/looking-for-a-chef-cook-male-2500-aed-nanny-1000-aedfa-female-hyderabadi-or-with-telugu-south-indian-for-a-home-shop/,executiveabt2019@gmail.com
"Urgently Needed Masons, Shuttering Carpenters And Painters","need 2 Masons, 2 shuttering carpenters, 1 painter with GCC 2-5 Experience", Construction, AED 1001-1500, 2 - 5 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 1"," 27 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-needed-masons-shuttering-carpenters-and-painters/,leadingaimhr2@gmail.com
ELECTRICIAN,"need 2 Masons, 2 shuttering carpenters, 1 painter with GCC 2-5 Experience",,,,,,,,,,,
GRAPHIC DESIGNER,"Required Female Candidate on Husband sponsor or Father sponsor visa for Graphic Designer Preferred location :Karama Candidates should have knowledge in Corel Draw ,Illustrator and Photoshop.Well knowledge of computer skills with strong personality and Good English communication skills and Arabic typing.", Advertising, AED 2001-2500, 2 - 5 Years, Full Time, Female, Karama, Dubai," February 19, 2019 11"," 28 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/graphic-designer-5/,jobe.hr@yahoo.com
Admin Cum Accounts Assistant,"A well reputed company in Sharjah is looking for a Female Candidate on husband visa for Admin cum accounts to handle day to day Accounts,Sale and Purchase invoices,office requirement,Petty cash and maintaining all files in order,scanning the documents etc. Candidate should have experience in Tally ERP9.", Textiles, AED 2001-2500, 1 - 2 Years, Full Time, Female, Sharjah, Sharjah," February 19, 2019 11"," 28 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/admin-cum-accounts-assistant-2/,tshirt.factory.shj@gmail.com
Customer Service Executive,"We are looking for a candidate to work with us as a Customer Service Executive in Barsha Heights, Dubai.", Other, AED 2501-3000, 1 - 2 Years, Full Time, Any, Bank Street, Dubai," February 19, 2019 11"," 28 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/customer-service-executive/,careers@blsindiavisa-uae.com
Home Care Nurses,"We are looking for a candidate to work with us as a Customer Service Executive in Barsha Heights, Dubai.",,,,,,,,,,,
Urgent Requirement: looking for cleaners,Urgent Requirement: looking for cleaners, Consultancy, AED 1001-1500, 1 - 2 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 11"," 27 days, 13 hours",https://buzzon.khaleejtimes.com/classifieds/urgent-requirement-looking-for-cleaners/,leadingaimhr1@gmail.com
"Looking for manager(Indian, Nepali ) for cleaning company , and 10 Rope Acc...",Urgent Requirement: Need Manager for one the prestigious company in UAE, Consultancy, Unspecified, 2 - 5 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 19, 2019 11"," 27 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/looking-for-managerindian-nepali-for-cleaning-company-and-10-rope-access-cleaners-any-nationality/,leadingaimhr2@gmail.com
Required Sales Executive,Urgent Requirement: Need Manager for one the prestigious company in UAE,,,,,,,,,,,
Required IT Professionals,Vacancies:-, Airlines, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 19, 2019 11"," 27 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/required-it-professionals/,hrservices.kcjob@gmail.com
REQUIRED Business Development officer,Vacancies:-,,,,,,,,,,,
Required Cleaners / Skilled Worker,Vacancies:-,,,,,,,,,,,
Urgently looking for an experienced Cashier,Job Details:, Airlines, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 19, 2019 11"," 27 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-looking-for-an-experienced-cashier/,hrservices.kcjob@gmail.com
Need Driver cum Supervisor,Job Details:,,,,,,,,,,,
Sales Engineer – Pest Control,Job Details:,,,,,,,,,,,
General Practitioner – Filipina,Job Details:,,,,,,,,,,,
GP – Dentist (Filipino),Job Details:,,,,,,,,,,,
Family Medicine Specialist – Part Time,Job Details:,,,,,,,,,,,
General Practitioner – Part Time,4,,,,,,,,,,,
Agricultural / Landscape Engineer,one of the leading construction company is urgently looking for Agricultural/ Landscape engineer whos specialized in hard and soft land and having 5 years experience in UAE., Construction, Unspecified, 5 - 7 Years, Full Time, Any, amman, Dubai," February 19, 2019 9"," 27 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/agricultural-landscape-engineer/,career.dubai15@gmail.com
Sr. Procurement Executive /Officer,One of the Large Business groups of hospitality companies based in Dubai is urgently looking for the below requirements:, Hotels/Restaurant, Unspecified, 5 - 7 Years, Full Time, Any, amman, Dubai," February 19, 2019 9"," 27 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/sr-procurement-executive-officer/,careerjobs877@gmail.com
Project Manager,Project Manager:, Construction, Unspecified, 7 - 10 Years, Full Time, Any, amman, Dubai," February 19, 2019 9"," 27 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/project-manager-2/,contract.hr1@gmail.com
Receptionist,Needed a UAE experienced receptionist to join immediately in a freezone company. Candidates fluent in English and having atleast 2-3 yrs of similar experience in UAE only need to apply., Engineering, AED 2001-2500, 2 - 5 Years, Full Time, Female, Sharjah, Sharjah," February 18, 2019 2"," 27 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/receptionist-2/,viju@beteccad.com
Lady Cook Required For Home,We are looking for a professional lady to cook for our Owner\xe2\x80\x99s (Local)home. She should have experience in UAE. At least 2 or 3 years. Candidate should have the knowledge of good cooking. Salary package will be decided in the interview. Medical Insurance & other benefits will be provided as per UAE labor law. Note., Other, AED 2501-3000, 2 - 5 Years, Full Time, Female, umme Ramool, Dubai," February 18, 2019 2"," 27 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/lady-cook-required-for-home/,aqi2006.hr@gmail.com
Business Development Executive,Full/part time business development executive required to join our group of companies to increase our client/customer base. We are looking for a candidate who has minimum 10 years experience and who know all locations in Abu Dhabi and hold valid UAE driving license. Send CV to plem.auh@gmail.com, Other, Unspecified, 7 - 10 Years, Project Based, Any, Mussafah Shabiya-9, Abu Dhabi," February 17, 2019 6"," 26 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/business-development-executive-5/,plem.auh@gmail.com
Project Engineer – Electrical,Degree/Diploma holders with minimum 8 years experience in MMEP Fitout Jobs. Preferably Indian Male with UAE Driving License.Send your CV to hr@tamimiengineering.com / info@tamimiengineering.com, Engineering, Unspecified, 5 - 7 Years, Full Time, Male, Dubai, Dubai," February 17, 2019 6"," 26 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/project-engineer-electrical-2/,hr@tamimiengineering.com
Auto Mechanic,Auto Mechanic with UAE Experience preferably with valid UAE driving license required urgently. send CV to plem.auh@gmail.com, Engineering, AED 1501-2000, 2 - 5 Years, Full Time, Male," M6, Mussafah", Abu Dhabi," February 17, 2019 6"," 26 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/auto-mechanic-3/,plem.auh@gmail.com
Project Engineer – Mechanical,Degree/Diploma holders with with minimum 8 years experience in MEP fitout Jobs. Preferably Indian Male with UAE Driving License. Send CV to hr@tamimiengineering.com / info@tamimiengineering.com, Engineering, Unspecified, 5 - 7 Years, Full Time, Male, Dubai, Dubai," February 17, 2019 6"," 26 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/project-engineer-mechanical-2/,hr@tamimiengineering.com
PEST CONTROL SPECIALIST,ORKIN Pest Control is looking for interested and qualified candidates for the position as Pest Control Specialist, Other, Unspecified, 2 - 5 Years, Full Time, Male," Suwaifi Community, Zakher", Al Ain," February 17, 2019 5"," 26 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/pest-control-specialist/,hrrecruitmentuae2017@gmail.com
Required Sales Engineer With UAE Driving license,Required: Sales Engineer with UAE Driving license Candidate must be familiar with waterproofing materials Any degree holder are welcome., Construction, Unspecified, 2 - 5 Years, Full Time, Male, Al Awir, Dubai," February 17, 2019 5"," 26 days, 11 hours",https://buzzon.khaleejtimes.com/classifieds/required-sales-engineer-with-uae-driving-license/,hrdept@drfco1.ae
Required for experienced sales / leasing agents in Dubai- UAE,"We are expanding our sales team and looking to hire experienced Real Estate Brokers for our office located in International City, the ideal candidate should meet the below criteria: \xe2\x80\xa2 Minimum of 1-2 years Dubai Real Estate Experience \xe2\x80\xa2 Ability to create a strong network in the Real Estate Industry \xe2\x80\xa2 Should have knowledge about all locations in Dubai \xe2\x80\xa2 Fluent in English. \xe2\x80\xa2 Should have a valid UAE Driver License. \xe2\x80\xa2 RERA Certified brokers preferred \xe2\x80\xa2 Basic Salary and Good commission package for the right candidate For those interested please send your CV to baila@zaindubai.com", Real Estate, AED 1501-2000, 1 - 2 Years, Full Time, Any, international city, Dubai," February 17, 2019 5"," 26 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/required-for-experienced-sales-leasing-agents-in-dubai-uae/,baila@zaindubai.com
Q & C ENGINEER AND CONSTRUCTION LAB TECHNICIAN NEEDED,WE URGENTLY LOOKING FOR, Construction, AED 10001-15000, 2 - 5 Years, Full Time, Any," Al Nahda 1,Dubai", Dubai," February 17, 2019 4"," 26 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/q-c-engineer-and-construction-lab-technician-needed/,executiveabt2019@gmail.com
SECURITY GUARDS JOB IS AVAILABLE ON IMMEDIATE BASIS,SECURITY GUARDS JOB IS AVAILABLE ON IMMEDIATE BASIS, Other, AED 2001-2500, 1 - 2 Years, Full Time, Any," Al nahda 1,Dubai", Dubai," February 17, 2019 4"," 26 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/security-guards-job-is-available-on-immediate-basis/,sguard2019@gmail.com
IT Specialist – Freelancer,Job Summary, Facility Management, AED 1001-1500, 2 - 5 Years, Part Time, Any," Mussafah 9, Bldg. # C-130 Mfloor Ofc 03, Abu Dhabi, United Arab Emirates", Abu Dhabi," February 17, 2019 4"," 26 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/it-specialist-freelancer/,hr.fixpro@gmail.com
Required experienced freelancer trainers,Job Summary,,,,,,,,,,,
ENGINEERS NEEDED FOR UK URGENTLY(CIVIL/MECHANICAL/DESIGN/ELECTRICAL),FOLLOWING REQUIREMENTS TO OUR UK PARTNER, Engineering, AED 10001-15000, 2 - 5 Years, Full Time, Any," Al Nahda 1,Dubai", Dubai," February 17, 2019 4"," 26 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/engineers-needed-for-uk-urgentlycivil-mechanical-design-electrical/,engineereuropeabt@gmail.com
"Business Analyst with 2 years experiences Salary \xc2\xa3 24,300 to \xc2\xa3  48,000 per ...",WE ARE LOOKING FOR THE FOLLOWING POSITIONS TO UNITED KINGDOM, Other, AED 10001-15000, 2 - 5 Years, Full Time, Any," Alnahda 1,Dubai", Dubai," February 17, 2019 4"," 26 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/business-analyst-with-2-years-experiences-salary-24300-to-48000-per-year-60-nos-bba-mba/,employeeabt2019@gmail.com
